alpha,Year,Sl No.,University,City,State,Admission rate,Average SAT equivalent score of students admitted,Avg Cost of Attendance(academic year instituion),in-state tuition and fee,out-state tuition and fee,"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion)",Number of undergraduate student,Number of graduate student
1,2013,49,Arizona State University-Downtown Phoenix,Phoenix,AZ,0.757,1085,22909,9861,23654,0.4732,7894,1836
2,2014,49,Arizona State University-Downtown Phoenix,Phoenix,AZ,0.7886,1083,23298,10157,24503,0.5833,8564,2066
3,2015,49,Arizona State University-Downtown Phoenix,Phoenix,AZ,0.7848,1080,24346,10158,25458,0.6406,9150,9150
4,2016,50,Arizona State University-Downtown Phoenix,Phoenix,AZ,0.767,1474,24109,10370,26470,0.6722,9232,2499
5,2008,72,Boston College,Chestnut Hill,MA,0.2624,1340,51400,37950,37950,0.9058,9860,4107
6,2009,72,Boston College,Chestnut Hill,MA,0.3006,1343,52007,39130,39130,0.9128,9779,4960
7,2010,72,Boston College,Chestnut Hill,MA,0.311,1344,52834,40542,40542,0.9096,9836,4973
8,2011,72,Boston College,Chestnut Hill,MA,0.2798,1353,54595,42204,42204,0.9153,9724,4928
9,2012,72,Boston College,Chestnut Hill,MA,0.2881,1357,56708,43878,43878,0.9219,9695,4768
10,2013,72,Boston College,Chestnut Hill,MA,0.3222,1375,58639,45622,45622,0.913,9686,4611
11,2014,72,Boston College,Chestnut Hill,MA,0.3391,1380,60690,47436,47436,0.9131,9601,4461
12,2015,72,Boston College,Chestnut Hill,MA,0.2851,1380,62968,49324,49324,0.9242,9704,9704
13,2016,73,Boston College,Chestnut Hill,MA,0.3114,1078,65595,51296,51296,0.925,9593,4596
14,2008,28,Boston University,Boston,MA,0.5861,1264,39506,37050,37050,0.8004,18733,11002
15,2009,28,Boston University,Boston,MA,0.543,1263,51054,38440,38440,0.8223,18534,13677
16,2010,28,Boston University,Boston,MA,0.5848,1261,53000,39864,39864,0.8279,18283,14013
17,2011,28,Boston University,Boston,MA,0.5797,1272,54836,41420,41420,0.8475,18714,14299
18,2012,28,Boston University,Boston,MA,0.4943,1272,56842,42994,42994,0.8391,18140,14297
19,2013,28,Boston University,Boston,MA,0.4561,1279,59036,44880,44880,0.8448,18306,14246
20,2014,28,Boston University,Boston,MA,0.3451,1300,61396,46664,46664,0.847,18165,14095
21,2015,28,Boston University,Boston,MA,0.3262,1303,63588,48436,48436,0.8526,18017,18017
22,2016,29,Boston University,Boston,MA,0.2943,1202,65809,50240,50240,0.8652,16512,14751
23,2008,81,Brandeis University,Waltham,MA,0.344,1363,16194,37294,37294,0.8913,3233,2131
24,2009,81,Brandeis University,Waltham,MA,0.3238,1367,50148,38762,38762,0.8701,3196,2281
25,2010,81,Brandeis University,Waltham,MA,0.4044,1344,51992,40289,40289,0.9067,3317,2301
26,2011,81,Brandeis University,Waltham,MA,0.3999,1340,53957,41860,41860,0.9118,3341,2324
27,2012,81,Brandeis University,Waltham,MA,0.3911,1340,56395,44294,44294,0.8992,3504,2220
28,2013,81,Brandeis University,Waltham,MA,0.3704,1347,58850,45856,45856,0.8959,3588,2211
29,2014,81,Brandeis University,Waltham,MA,0.3522,1369,61023,47558,47558,0.9085,3614,2216
30,2015,81,Brandeis University,Waltham,MA,0.3402,1360,63222,49598,49598,0.8645,3715,3715
31,2016,82,Brandeis University,Waltham,MA,0.3344,1262,65954,51245,51245,0.8994,3597,2121
32,2008,21,Brown University,Providence,RI,0.1371,1413,50560,37718,37718,0.9435,6008,1814
33,2009,21,Brown University,Providence,RI,0.1117,1420,50560,38848,38848,0.954,6095,2330
34,2010,21,Brown University,Providence,RI,0.0934,1415,52030,40820,40820,0.9559,6244,2387
35,2011,21,Brown University,Providence,RI,0.0891,1387,54370,42230,42230,0.9521,6318,2388
36,2012,21,Brown University,Providence,RI,0.096,1419,56150,43758,43758,0.9515,6380,2450
37,2013,21,Brown University,Providence,RI,0.0918,1425,58140,45612,45612,0.9452,6435,2488
38,2014,21,Brown University,Providence,RI,0.0874,1435,60460,47434,47434,0.9612,6455,2633
39,2015,21,Brown University,Providence,RI,0.0949,1457,62694,49346,49346,0.9597,6548,6548
40,2016,21,Brown University,Providence,RI,0.0931,1289,65380,51366,51366,0.9552,6580,2855
41,2008,4,California Institute of Technology,Pasadena,CA,0.1736,1514,51299,34437,34437,0.8849,913,1205
42,2009,4,California Institute of Technology,Pasadena,CA,0.1527,1514,48990,34584,34584,0.8895,921,1179
43,2010,4,California Institute of Technology,Pasadena,CA,0.1255,1528,49968,36282,36282,0.9034,951,1208
44,2011,4,California Institute of Technology,Pasadena,CA,0.1277,1520,52389,37704,37704,0.867,967,1253
45,2012,4,California Institute of Technology,Pasadena,CA,0.1277,1520,54090,39588,39588,0.919,978,1246
46,2013,4,California Institute of Technology,Pasadena,CA,0.1055,1534,56382,41538,41538,0.9307,997,1204
47,2014,4,California Institute of Technology,Pasadena,CA,0.0883,1545,58755,43362,43362,0.9153,977,1226
48,2015,4,California Institute of Technology,Pasadena,CA,0.0881,1544,60990,45390,45390,0.9084,983,983
49,2016,4,California Institute of Technology,Pasadena,CA,0.0807,1508,63471,47577,47577,0.9364,979,1261
50,2008,19,Carnegie Mellon University,Pittsburgh,PA,0.2889,1392,50148,39564,39564,0.8732,5682,5066
51,2009,19,Carnegie Mellon University,Pittsburgh,PA,0.3626,1392,52150,40920,40920,0.8445,5809,5420
52,2010,19,Carnegie Mellon University,Pittsburgh,PA,0.3332,1395,53660,42136,42136,0.8572,5777,5510
53,2011,19,Carnegie Mellon University,Pittsburgh,PA,0.3044,1402,55286,44010,44010,0.87,5830,5582
54,2012,19,Carnegie Mellon University,Pittsburgh,PA,0.2777,1409,57520,45760,45760,0.8677,5949,6057
55,2013,19,Carnegie Mellon University,Pittsburgh,PA,0.2549,1432,59710,47642,47642,0.8799,5921,6450
56,2014,19,Carnegie Mellon University,Pittsburgh,PA,0.246,1436,61990,49022,49022,0.883,5917,6699
57,2015,19,Carnegie Mellon University,Pittsburgh,PA,0.2372,1448,63804,50665,50665,0.8777,5888,5888
58,2016,19,Carnegie Mellon University,Pittsburgh,PA,0.2171,1302,65877,52310,52310,0.8976,6188,6975
59,2008,44,Case Western Reserve University,Cleveland,OH,0.7332,1308,18303,35202,35202,0.8096,4207,3761
60,2009,44,Case Western Reserve University,Cleveland,OH,0.7001,1340,48052,36238,36238,0.8066,4356,5510
61,2010,44,Case Western Reserve University,Cleveland,OH,0.6669,1345,50128,37648,37648,0.821,4228,5610
62,2011,44,Case Western Reserve University,Cleveland,OH,0.5126,1340,52073,39120,39120,0.7831,4227,5620
63,2012,44,Case Western Reserve University,Cleveland,OH,0.5432,1375,54133,40490,40490,0.7813,4016,5640
64,2013,44,Case Western Reserve University,Cleveland,OH,0.4188,1377,55783,41800,41800,0.8012,4386,5664
65,2014,44,Case Western Reserve University,Cleveland,OH,0.3831,1375,57405,43158,43158,0.8113,4661,5860
66,2015,44,Case Western Reserve University,Cleveland,OH,0.3627,1398,59467,44560,44560,0.8062,4911,4911
67,2016,45,Case Western Reserve University,Cleveland,OH,0.3544,1229,61371,46006,46006,0.8214,5048,6512
68,2008,89,Clark University,Worcester,MA,0.5639,1197,17820,34220,34220,0.7257,2320,950
69,2009,89,Clark University,Worcester,MA,0.6418,1190,42620,35220,35220,0.7803,2380,1083
70,2010,89,Clark University,Worcester,MA,0.6909,1195,43720,36420,36420,0.7744,2333,1134
71,2011,89,Clark University,Worcester,MA,0.6792,1450,44962,37350,37350,0.7953,2317,1151
72,2012,89,Clark University,Worcester,MA,0.7005,1450,45984,38450,38450,0.7975,2311,1151
73,2013,89,Clark University,Worcester,MA,0.6154,1450,47248,39550,39550,0.8094,2352,1171
74,2014,89,Clark University,Worcester,MA,0.5403,1450,48366,40730,40730,0.7782,2380,1122
75,2015,89,Clark University,Worcester,MA,0.5507,1450,49958,41940,41940,0.8285,2301,2301
76,2016,90,Clark University,Worcester,MA,0.5473,1214,51609,43150,43150,0.7548,2248,1009
77,2008,86,Colorado State University-Fort Collins,Fort Collins,CO,0.8555,1113,23036,5874,21590,0.6312,21671,6418
78,2009,86,Colorado State University-Fort Collins,Fort Collins,CO,0.722,1126,17276,6318,22240,0.6351,21937,6681
79,2010,86,Colorado State University-Fort Collins,Fort Collins,CO,0.8052,1127,18054,6985,23095,0.6392,22221,7324
80,2011,86,Colorado State University-Fort Collins,Fort Collins,CO,0.7587,1129,18682,7952,23652,0.635,22831,7392
81,2012,86,Colorado State University-Fort Collins,Fort Collins,CO,0.7471,1129,20152,8649,24441,0.6282,23075,7407
82,2013,86,Colorado State University-Fort Collins,Fort Collins,CO,0.7743,1127,21823,9313,25166,0.6383,23252,7638
83,2014,86,Colorado State University-Fort Collins,Fort Collins,CO,0.8048,1128,22929,9897,26277,0.6525,23548,7756
84,2015,86,Colorado State University-Fort Collins,Fort Collins,CO,0.8082,1145,23137,10558,27267,0.6659,23598,23598
85,2016,87,Colorado State University-Fort Collins,Fort Collins,CO,0.7796,1127,24885,11052,28346,0.6674,23497,6679
86,2008,9,Columbia University in the city of New York,New York,NY,0.1057,1422,50100,39326,39326,0.9257,7285,13502
87,2009,9,Columbia University in the city of New York,New York,NY,0.1101,1445,51406,41316,41316,0.9299,7495,16487
88,2010,9,Columbia University in the city of New York,New York,NY,0.0984,1457,54294,43304,43304,0.9217,7743,17258
89,2011,9,Columbia University in the city of New York,New York,NY,0.0954,1471,56681,45290,45290,0.928,7940,17923
90,2012,9,Columbia University in the city of New York,New York,NY,0.0695,1486,59208,47246,47246,0.9505,8127,18657
91,2013,9,Columbia University in the city of New York,New York,NY,0.0742,1471,61540,49138,49138,0.9329,7814,18987
92,2014,9,Columbia University in the city of New York,New York,NY,0.0695,1470,64144,51008,51008,0.9469,7970,19489
93,2015,9,Columbia University in the city of New York,New York,NY,0.0661,1473,66604,53000,53000,0.9518,8100,8100
94,2016,9,Columbia University in the city of New York,New York,NY,0.0683,1481,69021,55056,55056,0.9411,8124,21248
95,2008,7,Cornell University,Ithaca,NY,0.2066,1395,50384,36504,36504,0.929,13510,5497
96,2009,7,Cornell University,Ithaca,NY,0.191,1391,50384,37954,37954,0.9189,13846,6702
97,2010,7,Cornell University,Ithaca,NY,0.1836,1394,52406,39666,39666,0.9282,13931,7004
98,2011,7,Cornell University,Ithaca,NY,0.1797,1394,54667,41541,41541,0.9349,13935,6964
99,2012,7,Cornell University,Ithaca,NY,0.1655,1410,57116,43413,43413,0.9335,14167,7163
100,2013,7,Cornell University,Ithaca,NY,0.1556,1422,59572,45358,45358,0.9334,14261,7200
101,2014,7,Cornell University,Ithaca,NY,0.1419,1422,61608,47286,47286,0.932,14393,7397
102,2015,7,Cornell University,Ithaca,NY,0.1507,1428,63596,49116,49116,0.9348,14269,14269
103,2016,7,Cornell University,Ithaca,NY,0.1409,1502,65464,50953,50953,0.9388,14471,7753
104,2008,42,Dartmouth College,Hanover,NH,0.1528,1435,50547,36915,36915,0.9484,4164,1324
105,2009,42,Dartmouth College,Hanover,NH,0.1347,1432,50547,38679,38679,0.9424,4147,1791
106,2010,42,Dartmouth College,Hanover,NH,0.1257,1444,52973,40437,40437,0.9535,4196,1893
107,2011,42,Dartmouth College,Hanover,NH,0.1168,1454,55386,42996,42996,0.9497,4248,1950
108,2012,42,Dartmouth College,Hanover,NH,0.1014,1446,58638,45042,45042,0.9583,4194,2084
109,2013,42,Dartmouth College,Hanover,NH,0.0978,1446,61398,46752,46752,0.947,4193,2066
110,2014,42,Dartmouth College,Hanover,NH,0.115,1444,63279,48108,48108,0.9516,4276,2009
111,2015,42,Dartmouth College,Hanover,NH,0.1097,1437,65133,49506,49506,0.9414,4289,4289
112,2016,43,Dartmouth College,Hanover,NH,0.1059,1330,67044,51438,51438,0.9657,4230,2099
113,2008,94,Drexel University,Philadelphia,PA,0.6815,1195,14707,30440,30440,0.6216,13194,7965
114,2009,94,Drexel University,Philadelphia,PA,0.5456,1205,46521,31835,31835,0.6616,13572,9009
115,2010,94,Drexel University,Philadelphia,PA,0.5506,1199,48581,33000,33000,0.6776,13484,9657
116,2011,94,Drexel University,Philadelphia,PA,0.575,1205,50611,34505,34505,0.682,13980,9813
117,2012,94,Drexel University,Philadelphia,PA,0.7486,1216,52535,36090,36090,0.6534,15047,9624
118,2013,94,Drexel University,Philadelphia,PA,0.815,1197,53831,37505,37505,0.6951,15876,9516
119,2014,94,Drexel University,Philadelphia,PA,0.7601,1186,56402,47051,47051,0.6736,16616,9463
120,2015,94,Drexel University,Philadelphia,PA,0.7474,1214,66078,48791,48791,0.6803,16896,16896
121,2016,95,Drexel University,Philadelphia,PA,0.7465,1340,67821,51030,51030,0.6977,15350,8680
122,2008,13,Duke University,Durham,NC,0.2297,1430,52464,37295,37295,0.9505,6394,5884
123,2009,13,Duke University,Durham,NC,0.2238,1440,50974,38741,38741,0.9462,6496,7772
