Year,Sl No.,University,City,State,Admission rate,Average SAT equivalent score of students admitted,Avg Cost of Attendance(academic year instituion),in-state tuition and fee,out-state tuition and fee,"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion)",Number of undergraduate student,Number of graduate student
2008,72,Boston College,Chestnut Hill,MA,0.2624,1340,51400,37950,37950,0.9058,9860,4107
2008,28,Boston University,Boston,MA,0.5861,1264,39506,37050,37050,0.8004,18733,11002
2008,81,Brandeis University,Waltham,MA,0.344,1363,16194,37294,37294,0.8913,3233,2131
2008,21,Brown University,Providence,RI,0.1371,1413,50560,37718,37718,0.9435,6008,1814
2008,4,California Institute of Technology,Pasadena,CA,0.1736,1514,51299,34437,34437,0.8849,913,1205
2008,19,Carnegie Mellon University,Pittsburgh,PA,0.2889,1392,50148,39564,39564,0.8732,5682,5066
2008,44,Case Western Reserve University,Cleveland,OH,0.7332,1308,18303,35202,35202,0.8096,4207,3761
2008,89,Clark University,Worcester,MA,0.5639,1197,17820,34220,34220,0.7257,2320,950
2008,86,Colorado State University-Fort Collins,Fort Collins,CO,0.8555,1113,23036,5874,21590,0.6312,21671,6418
2008,9,Columbia University in the city of New York,New York,NY,0.1057,1422,50100,39326,39326,0.9257,7285,13502
2008,7,Cornell University,Ithaca,NY,0.2066,1395,50384,36504,36504,0.929,13510,5497
2008,42,Dartmouth College,Hanover,NH,0.1528,1435,50547,36915,36915,0.9484,4164,1324
2008,94,Drexel University,Philadelphia,PA,0.6815,1195,14707,30440,30440,0.6216,13194,7965
2008,13,Duke University,Durham,NC,0.2297,1430,52464,37295,37295,0.9505,6394,5884
2008,38,Emory University,Atlanta,GA,0.2717,1384,49027,36336,36336,0.8652,6719,4227
2008,90,Florida State University,Tallahassee,FL,0.467,1192,26336,3987,18432,0.6953,31595,7641
2008,66,George Washington University,Washington,DC,0.3671,1283,51153,40422,40422,0.8077,10701,12126
2008,23,Georgia Institute of Technology-Main campus,Atlanta,GA,0.6335,1321,20743,6040,25182,0.7719,12565,6440
2008,3,Harvard University,Cambridge,MA,0.0765,1482,50250,36173,36173,0.9759,6764,16340
2008,96,Howard University,Washington,DC,0.4852,1129,22277,14685,14685,0.6523,7028,1787
2008,79,Illinois Institute of Technology,Chicago,IL,0.5718,1241,16003,27513,27513,0.6371,2576,3856
2008,62,Indiana University-Bloomington,Bloomington,IN,0.7069,1164,48052,8231,24769,0.7259,30394,7814
2008,91,Iowa State University,Ames,IA,0.8891,1131,19255,6360,17350,0.6736,21004,4718
2008,12,Johns Hopkins University,Baltimore,MD,0.2609,1395,50030,37700,37700,0.8911,5650,13708
2008,95,Lehigh University,Bethlehem,PA,0.2791,1315,20488,37550,37550,0.8504,4756,2118
2008,1,Massachusetts Institute of Technology,Cambridge,MA,0.1186,1464,51406,36390,36390,0.9355,4163,6146
2008,37,Michigan State University,East Lansing,MI,0.7003,1146,15127,10214,25672,0.7519,36072,8483
2008,18,New York University,New York,NY,0.3221,1342,49540,37372,37372,0.849,21327,17454
2008,57,North Carolina State University at Raleigh,Raleigh,NC,0.6032,1158,25195,5286,17584,0.7089,24145,7819
2008,63,Northeastern University,Boston,MA,0.3513,1269,52707,33721,33721,0.6995,17963,6683
2008,16,Northwestern University,Evanston,IL,0.2678,1431,52450,37125,37125,0.935,9261,8456
2008,27,Ohio State University-Main campus,Columbus,OH,0.623,1239,49803,8679,21918,0.7271,39209,13503
2008,87,Oregon State University,Corvallis,OR,0.8554,1070,18181,6187,18823,0.6198,16224,3632
2008,29,Pennsylvania State University-Main campus,University Park,PA,0.5096,1194,22606,13706,24940,0.8463,36815,6418
2008,6,Princeton University,Princeton,NJ,0.0993,1478,49830,34290,34290,0.9605,4845,2452
2008,31,Purdue University-Main campus,West Lafayette,IN,0.7152,1163,17276,7750,23224,0.7177,32610,7426
2008,26,Rice University,Houston,TX,0.2298,1425,43586,30486,30486,0.9314,3017,2237
2008,58,Rutgers University-New Brunswick,New Brunswick,NJ,0.5577,1185,16758,11540,21488,0.746,26829,7538
2008,2,Stanford University,Stanford,CA,0.0949,1432,51760,36798,36798,0.9444,6759,10280
